date,station,city,lat,lon,h_m,q,nsat,dN_m,dE_m,dU_m,r3d_m,status,duration_s
2025-01-01,AMDR,Амдерма,0.00000000,0.00000000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,no_obs,44.2
2025-01-01,NSK1,Новосибирск,55.01225502,82.98502424,141.1391,1,23,0.0050,-0.0026,-0.0186,0.0194,ok,166.3
2025-01-01,AGA1,Александров Гай,0.00000000,0.00000000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,no_obs,159.4
2025-01-01,ANDR,Анадырь,64.73536201,177.50997248,64.9296,1,18,-0.0243,0.0491,0.0218,0.0590,ok,259.1
2025-01-01,AST3,Астрахань,46.35357819,48.05647922,6.7928,5,13,-0.1675,0.4736,-1.8802,1.9461,ok,21.4
2025-01-01,ANTP,Антипаюта,69.10440765,76.85984673,-7.6324,1,23,0.0007,0.0234,-0.0129,0.0267,ok,313.7
2025-01-01,AMDR,Амдерма,69.75947697,61.67869977,46.0356,1,24,-0.0524,0.0358,0.0000,0.0634,ok,327.6
2025-01-01,ARKH,Архангельск,64.54929848,40.52603499,60.9610,1,22,0.0038,0.0115,-0.0077,0.0144,ok,181.1
2025-01-01,BELG,Белгород,50.63991825,36.57157570,241.0569,1,20,-0.0132,0.0017,0.0216,0.0254,ok,16.3
2025-01-01,BGHN,Богучаны,0.00000000,0.00000000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,no_obs,8.3
2025-01-01,BIRY,Биряково,0.00000000,0.00000000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,no_obs,8.1
2025-01-01,CHIT,Чита,52.02288911,113.51628417,666.7956,1,25,0.0265,-0.0331,0.0035,0.0425,ok,101.8
2025-01-01,AYN1,Аян,56.46307563,138.17528745,31.7088,1,23,-0.0091,0.0160,-0.0205,0.0276,ok,174.7
2025-01-01,BORO,Бор,61.58027937,90.03403891,31.1245,1,22,-0.0001,-0.0124,-0.0064,0.0139,ok,145.5
2025-01-01,BARE,Баренцбург,78.06325718,14.23890649,290.5921,1,23,0.0000,0.0000,0.0000,0.0000,ok,180.7
2025-01-01,CRS1,Черский,0.00000000,0.00000000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,no_obs,8.0
2025-01-01,CRS2,Черский,0.00000000,0.00000000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,no_obs,7.9
2025-01-01,DKSN,Диксон,0.00000000,0.00000000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,no_obs,7.9
2025-01-01,CNG1,Москва,55.85503162,37.51604422,191.6850,1,20,0.0039,0.0095,-0.0173,0.0201,ok,126.9
2025-01-01,CHRD,Чокурдах,70.62212160,147.89793332,48.9107,1,17,-0.0090,0.0452,0.0050,0.0464,ok,165.9
2025-01-01,HES1,Земля Франца-Иосифа,0.00000000,0.00000000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,no_obs,7.4
2025-01-01,ELIS,Элиста,46.30902009,44.31143436,153.7999,1,20,0.0098,-0.0085,-0.0930,0.0939,ok,120.0
2025-01-01,HES2,Земля Франца-Иосифа,0.00000000,0.00000000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,no_obs,7.6
2025-01-01,IRAE,Ираёль,0.00000000,0.00000000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,no_obs,7.7
2025-01-01,ITKL,Ытык-Кюёль,0.00000000,0.00000000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,no_obs,7.7
2025-01-01,IRKO,Иркутск,52.30810509,104.33098033,468.1968,6,17,-0.0064,-0.0044,0.0521,0.0527,ok,23.4
2025-01-01,EKTG,Екатеринбург,56.87753347,60.68117458,294.9864,1,17,0.0117,-0.0002,-0.0085,0.0145,ok,159.4
2025-01-01,FSVO,Свободный,51.36997893,128.13168624,208.6974,1,21,0.0047,-0.0345,0.0020,0.0349,ok,175.0
2025-01-01,KARG,Каргополь,0.00000000,0.00000000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,no_obs,7.5
2025-01-01,KERC,Керчь,0.00000000,0.00000000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,no_obs,7.5
2025-01-01,ITRP,Курильск,45.25361213,147.88651418,55.8219,1,19,0.0191,-0.0156,-0.1300,0.1323,ok,165.3
2025-01-01,IZVK,Ижевск,56.83623968,53.45723609,160.7647,1,22,-0.0005,0.0103,-0.0155,0.0186,ok,185.6
2025-01-01,KAGP,Красноярск,56.03386916,92.86190871,224.3393,1,24,-0.0082,-0.0083,-0.0026,0.0119,ok,187.4
2025-01-01,KHAZ,Хабаровск,48.44537285,135.13893922,90.2141,1,19,0.0300,-0.0651,0.0213,0.0748,ok,178.4
2025-01-01,KLCH,Ключи,56.32414937,160.82601406,49.3785,1,21,-0.0027,-0.0085,-0.0312,0.0324,ok,117.9
2025-01-01,KIRV,Киров,58.57002361,49.57241520,164.6154,1,19,0.0136,0.0102,-0.0148,0.0225,ok,158.1
2025-01-01,KIZ1,Кызыл,51.71963806,94.45472200,588.6419,1,23,-0.0033,-0.0128,0.0059,0.0145,ok,145.3
2025-01-01,KLN1,Калининград,54.71127359,20.43630247,58.8661,1,20,0.0017,0.0043,-0.0253,0.0257,ok,133.5
2025-01-01,KNDL,Кондоль,52.82730680,45.06241913,235.6973,1,20,0.0238,0.0095,-0.0039,0.0259,ok,141.2
2025-01-01,LOVJ,Ловозеро,0.00000000,0.00000000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,no_obs,1.1
2025-01-01,LVR1,Лаврентия,65.57884734,-171.00766297,14.9554,1,20,-0.0273,0.0020,-0.1595,0.1618,ok,34.8
2025-01-01,KLPS,Колпашево,58.32583957,82.95056697,50.0198,1,25,0.0184,-0.0333,-0.0518,0.0643,ok,182.3
2025-01-01,KOTL,Котлас,61.25092357,46.63250791,79.1281,1,19,0.0045,0.0047,-0.0180,0.0191,ok,167.7
2025-01-01,MAMA,Мамакан,0.00000000,0.00000000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,no_obs,7.4
2025-01-01,KZDV,Кузедеево,53.34104037,87.18564733,254.2310,1,26,-0.0039,0.0119,-0.0238,0.0269,ok,191.4
2025-01-01,MAG1,Магадан,59.57733806,150.81044401,74.0491,1,23,-0.0141,0.0543,0.0482,0.0739,ok,151.5
2025-01-01,MFGS,Мичуринский,0.00000000,0.00000000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,no_obs,7.5
2025-01-01,MBR1,Северная Земля,79.27980477,101.61977597,27.1870,1,24,0.0029,0.0086,-0.1274,0.1277,ok,147.0
2025-01-01,LVR2,Лаврентия,65.57886789,-171.00769149,14.9940,1,28,-0.0308,0.0149,-0.1112,0.1163,ok,221.4
2025-01-01,MHCH,Махачкала,43.02999150,47.45898073,-22.5339,1,19,0.0034,0.0052,-0.0070,0.0094,ok,95.0
2025-01-01,MKR2,Новая Земля,0.00000000,0.00000000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,no_obs,7.9
2025-01-01,MOBJ,Обнинск,0.00000000,0.00000000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,no_obs,1.1
2025-01-01,MGNS,Магнитогорск,53.38226391,59.13313813,374.3751,1,21,-0.0192,0.0260,-0.1638,0.1670,ok,186.1
2025-01-01,MBR2,Северная Земля,79.27971507,101.61986608,27.3757,1,27,-0.0553,-0.0119,-0.0936,0.1094,ok,225.3
2025-01-01,MYRN,Мирный,0.00000000,0.00000000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,no_obs,7.4
2025-01-01,MKR1,Новая Земля,72.37465345,52.71640864,23.5074,1,25,0.0077,0.0093,-0.0035,0.0125,ok,167.8
2025-01-01,NERY,Нерюнгри,56.66718672,124.72585082,845.3131,1,17,0.0221,-0.0223,-0.0297,0.0432,ok,82.5
2025-01-01,MURM,Мурманск,68.96603232,33.09225260,96.5373,1,22,0.0144,0.0221,0.0458,0.0528,ok,181.8
2025-01-01,NARY,Нарьян-Мар,67.62576157,53.02039563,9.5107,1,21,0.0092,0.0100,-0.0076,0.0156,ok,189.9
2025-01-01,NIRO,Ныроб,60.73491561,56.71160486,152.1660,1,21,0.0192,-0.0092,-0.0311,0.0377,ok,179.6
2025-01-01,NRIL,Норильск,0.00000000,0.00000000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,no_obs,7.3
2025-01-01,NNOV,Н.Новгород,56.29180591,44.03421758,178.5763,1,18,0.0036,-0.0046,-0.0132,0.0145,ok,151.7
2025-01-01,NOVG,В.Новгород,58.53355616,31.26083529,59.0075,1,20,0.0122,0.0300,-0.0410,0.0522,ok,191.9
2025-01-01,OHA1,Оха,53.58964965,142.95336977,49.8790,1,22,0.0036,0.0099,0.0171,0.0201,ok,76.1
2025-01-01,OLE1,Олекминск,0.00000000,0.00000000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,no_obs,7.5
2025-01-01,OLE2,Олекминск,0.00000000,0.00000000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,no_obs,7.6
2025-01-01,NOYA,Ноябрьск,63.18586382,75.44895819,108.5297,1,23,0.0354,0.0068,-0.0319,0.0481,ok,168.7
2025-01-01,OLNK,Оленёк,0.00000000,0.00000000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,no_obs,8.2
2025-01-01,NSK1,Новосибирск,55.01225502,82.98502424,141.1391,1,23,0.0050,-0.0026,-0.0186,0.0194,ok,174.9
2025-01-01,OKTB,Казань,55.83948597,48.81177857,99.9649,1,20,0.0029,0.0124,-0.0291,0.0318,ok,170.1
2025-01-01,OLGA,Ольга,43.75327611,135.31143890,48.9513,1,19,0.0137,-0.0027,-0.0249,0.0286,ok,150.3
2025-01-01,OREN,Оренбург,51.75972713,55.09966442,106.8517,1,19,0.0238,0.0123,-0.0338,0.0431,ok,64.6
