%=FAGSPPP_COMP 1.0 26:148:76348 fagsbatch
+REF_FILE
 /Users/sergeidolin/Downloads/result-2.csv
-REF_FILE
+RESIDUALS
*SITE     YYYY DOY         X_PPP(m)         Y_PPP(m)         Z_PPP(m)       dN(m)       dE(m)       dU(m)   RMS3D(m)  Q  NSat
 NSK1     2025   1      447669.9360     3638117.4299     5202281.5505    0.005000   -0.002600   -0.018600   0.019400  1    23
 ANDR     2025   1    -2727120.5577      118593.0913     5745237.6463   -0.024300    0.049100    0.021800   0.059000  1    18
 AST3     2025   1     2947613.4656     3280153.0716     4592466.4453   -0.167500    0.473600   -1.880200   1.946100  5    13
 ANTP     2025   1      518670.6976     2221800.0112     5936129.6678    0.000700    0.023400   -0.012900   0.026700  1    23
 AMDR     2025   1     1049947.3962     1948228.4784     5961852.9209   -0.052400    0.035800    0.000000   0.063400  1    24
 ARKH     2025   1     2089120.0178     1785919.4447     5736350.1205    0.003800    0.011500   -0.007700   0.014400  1    22
 BELG     2025   1     3255205.9253     2415024.5925     4908424.5131   -0.013200    0.001700    0.021600   0.025400  1    20
 CHIT     2025   1    -1569450.1795     3606684.7544     5004896.5269    0.026500   -0.033100    0.003500   0.042500  1    25
 AYN1     2025   1    -2632003.6600     2355326.4044     5293128.5071   -0.009100    0.016000   -0.020500   0.027600  1    23
 BORO     2025   1       -1808.0755     3043431.2703     5586432.2032   -0.000100   -0.012400   -0.006400   0.013900  1    22
 BARE     2025   1     1282847.7304      325537.4285     6218685.3456    0.000000    0.000000    0.000000   0.000000  1    23
 CNG1     2025   1     2846193.8607     2185227.9069     5255558.1090    0.003900    0.009500   -0.017300   0.020100  1    20
 CHRD     2025   1    -1798055.6430     1128008.5584     5994470.3760   -0.009000    0.045200    0.005000   0.046400  1    17
 ELIS     2025   1     3158204.5492     3083193.4549     4589152.7689    0.009800   -0.008500   -0.093000   0.093900  1    20
 IRKO     2025   1     -967362.8810     3786560.3392     5024207.7801   -0.006400   -0.004400    0.052100   0.052700  6    17
 EKTG     2025   1     1710697.9340     3046082.3168     5318707.2980    0.011700   -0.000200   -0.008500   0.014500  1    17
 FSVO     2025   1    -2463764.5103     3138579.1670     4959507.5420    0.004700   -0.034500    0.002000   0.034900  1    21
 ITRP     2025   1    -3809500.6170     2390944.9013     4507273.6829    0.019100   -0.015600   -0.130000   0.132300  1    19
 IZVK     2025   1     2082405.7000     2809821.3782     5316080.7492   -0.000500    0.010300   -0.015500   0.018600  1    22
 KAGP     2025   1     -178338.3053     3567385.9389     5266736.1244   -0.008200   -0.008300   -0.002600   0.011900  1    24
 KHAZ     2025   1    -3004576.5509     2990039.8961     4749937.8743    0.030000   -0.065100    0.021300   0.074800  1    19
 KLCH     2025   1    -3348240.2801     1164276.3391     5284581.1577   -0.002700   -0.008500   -0.031200   0.032400  1    21
 KIRV     2025   1     2162144.3930     2538034.3548     5419254.7605    0.013600    0.010200   -0.014800   0.022500  1    19
 KIZ1     2025   1     -307567.2705     3947896.9229     4984000.1781   -0.003300   -0.012800    0.005900   0.014500  1    23
 KLN1     2025   1     3460481.3281     1289437.8569     5182929.8358    0.001700    0.004300   -0.025300   0.025700  1    20
 KNDL     2025   1     2727977.7640     2733928.0721     5059142.4566    0.023800    0.009500   -0.003900   0.025900  1    20
 LVR1     2025   1    -2611834.5283     -413315.8774     5784703.1825   -0.027300    0.002000   -0.159500   0.161800  1    20
 KLPS     2025   1      412021.5815     3331878.9271     5404924.5981    0.018400   -0.033300   -0.051800   0.064300  1    25
 KOTL     2025   1     2111995.5413     2235912.4450     5568914.0117    0.004500    0.004700   -0.018000   0.019100  1    19
 KZDV     2025   1      187387.6877     3811849.0008     5093498.5118   -0.003900    0.011900   -0.023800   0.026900  1    26
 MAG1     2025   1    -2826665.0720     1579093.5918     5476846.6854   -0.014100    0.054300    0.048200   0.073900  1    23
 MBR1     2025   1     -239740.1584     1165879.8459     6245108.3817    0.002900    0.008600   -0.127400   0.127700  1    24
 LVR2     2025   1    -2611832.6891     -413314.2537     5784704.1650   -0.030800    0.014900   -0.111200   0.116300  1    28
 MHCH     2025   1     3157243.1863     3440577.8980     4329922.5460    0.003400    0.005200   -0.007000   0.009400  1    19
 MGNS     2025   1     1956159.2226     3272798.0540     5096332.9337   -0.019200    0.026000   -0.163800   0.167000  1    21
 MBR2     2025   1     -239743.9812     1165889.1423     6245106.7041   -0.055300   -0.011900   -0.093600   0.109400  1    27
 MKR1     2025   1     1173449.9894     1541288.7738     6056497.6536    0.007700    0.009300   -0.003500   0.012500  1    25
 NERY     2025   1    -2001453.8383     2887681.8178     5306331.2992    0.022100   -0.022300   -0.029700   0.043200  1    17
 MURM     2025   1     1923562.4912     1253584.0128     5930704.0996    0.014400    0.022100    0.045800   0.052800  1    22
 NARY     2025   1     1464637.0427     1945079.2059     5875339.4500    0.009200    0.010000   -0.007600   0.015600  1    21
 NIRO     2025   1     1715719.0754     2613085.8988     5541095.5625    0.019200   -0.009200   -0.031100   0.037700  1    21
 NNOV     2025   1     2550715.9074     2466143.3018     5282690.8410    0.003600   -0.004600   -0.013200   0.014500  1    18
 NOVG     2025   1     2852983.5414     1731971.1973     5417045.3642    0.012200    0.030000   -0.041000   0.052200  1    20
 OHA1     2025   1    -3028242.1186     2285810.4956     5109806.2807    0.003600    0.009900    0.017100   0.020100  1    22
 NOYA     2025   1      724812.5837     2792377.8377     5669450.3325    0.035400    0.006800   -0.031900   0.048100  1    23
 NSK1     2025   1      447669.9360     3638117.4299     5202281.5505    0.005000   -0.002600   -0.018600   0.019400  1    23
 OKTB     2025   1     2363942.8489     2701430.4967     5254510.4902    0.002900    0.012400   -0.029100   0.031800  1    20
 OLGA     2025   1    -3280640.7822     3245168.5205     4388364.9394    0.013700   -0.002700   -0.024900   0.028600  1    19
 OREN     2025   1     2263461.6596     3244555.7011     4986384.0657    0.023800    0.012300   -0.033800   0.043100  1    19
 OMSR     2025   1     1046504.0723     3511566.9069     5203198.4762    0.009700   -0.006100   -0.016500   0.020100  1    24
 OXTK     2025   1    -2610469.2504     1950405.6734     5464521.6766   -0.025500    0.025400    0.014300   0.038800  1    24
 ONGY     2025   1      272556.7798     4035202.9122     4916374.8970   -0.001000    0.014400   -0.023000   0.027100  1    23
 PEVK     2025   1    -2187298.9837      375560.0216     5959534.1325   -0.048300    0.029000   -0.024800   0.061500  1    22
 PNGD     2025   1      699009.6178     2521778.7220     5797118.9426    0.000800    0.010800   -0.024900   0.027100  1    24
 RGSK     2025   1     2894146.5762     2438185.6178     5117137.2512    0.009200    0.004200    0.079100   0.079700  1    20
 RBCS     2025   1      607960.3433     3925423.2832     4973693.2622    0.019200   -0.032000   -0.047600   0.060500  1    21
 SEGE     2025   1     2336393.1853     1592987.0489     5697993.6197    0.015900    0.011900   -0.103100   0.105000  1    22
 SEMH     2025   1    -2578537.5242     1348923.9997     5656804.9207    0.029000    0.003800    0.030100   0.042000  1    22
 SPB2     2025   1     2767753.2722     1621331.4456     5494417.5416    0.006300   -0.001300    0.021200   0.022200  1    14
 SLH1     2025   1     1011482.1809     2338107.1292     5827737.2393    0.001700    0.005200   -0.019500   0.020200  1    23
 SVK1     2025   1    -3704027.0493     1639969.4659     4910134.3399    0.015500   -0.026000   -0.131900   0.135300  1    20
 TUAP     2025   1     3563349.8181     2889412.1575     4416382.5984   -0.220100    0.883900   -0.169100   0.926500  6    12
 TILK     2025   1    -3062218.8616      758413.1408     5524836.8411   -0.022600    0.037300    0.020500   0.048200  1    20
 TIXG     2025   1    -1264873.6192     1569455.7575     6031003.4272   -0.003500    0.005900    0.072700   0.073000  1    24
 TURR     2025   1     -492411.7067     2732408.1432     5723060.5632   -0.017300    0.017900   -0.135400   0.137700  1    23
