station,network,n_meas,skp_N_mm,skp_E_mm,skp_U_mm,skp_3D_mm,bias_N_mm,bias_E_mm,bias_U_mm,bias_3D_mm,mean_nsat,std_nsat,category
NSK1,ФАГС,2,0.0,0.0,0.0,0.0,5.0,-2.6,-18.599999999999998,19.400000000000002,23.0,0.0,Неопределено
ANDR,ФАГС,1,0.0,0.0,0.0,0.0,-24.299999999999997,49.099999999999994,21.8,59.0,18.0,0.0,Неопределено
AST3,ФАГС,1,0.0,0.0,0.0,0.0,-167.5,473.6,-1880.2,1946.1,13.0,0.0,Неопределено
ANTP,ФАГС,1,0.0,0.0,0.0,0.0,0.7,23.400000000000002,-12.9,26.700000000000003,23.0,0.0,Неопределено
AMDR,ФАГС,1,0.0,0.0,0.0,0.0,-52.400000000000006,35.8,0.0,63.4,24.0,0.0,Неопределено
ARKH,ФАГС,1,0.0,0.0,0.0,0.0,3.8,11.5,-7.7,14.4,22.0,0.0,Неопределено
BELG,ФАГС,1,0.0,0.0,0.0,0.0,-13.2,1.7,21.6,25.4,20.0,0.0,Неопределено
CHIT,ФАГС,1,0.0,0.0,0.0,0.0,26.5,-33.099999999999994,3.5,42.5,25.0,0.0,Неопределено
AYN1,ФАГС,1,0.0,0.0,0.0,0.0,-9.1,16.0,-20.5,27.599999999999998,23.0,0.0,Неопределено
BORO,ФАГС,1,0.0,0.0,0.0,0.0,-0.1,-12.4,-6.4,13.899999999999999,22.0,0.0,Неопределено
BARE,ФАГС,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,Неопределено
CNG1,ФАГС,1,0.0,0.0,0.0,0.0,3.9,9.5,-17.3,20.1,20.0,0.0,Неопределено
CHRD,ФАГС,1,0.0,0.0,0.0,0.0,-9.0,45.199999999999996,5.0,46.4,17.0,0.0,Неопределено
ELIS,ФАГС,1,0.0,0.0,0.0,0.0,9.799999999999999,-8.5,-93.0,93.89999999999999,20.0,0.0,Неопределено
IRKO,ФАГС,1,0.0,0.0,0.0,0.0,-6.4,-4.4,52.1,52.699999999999996,17.0,0.0,Неопределено
EKTG,ФАГС,1,0.0,0.0,0.0,0.0,11.700000000000001,-0.2,-8.5,14.5,17.0,0.0,Неопределено
FSVO,ФАГС,1,0.0,0.0,0.0,0.0,4.7,-34.5,2.0,34.9,21.0,0.0,Неопределено
ITRP,ФАГС,1,0.0,0.0,0.0,0.0,19.099999999999998,-15.6,-130.0,132.3,19.0,0.0,Неопределено
