station,network,n_meas,skp_N_mm,skp_E_mm,skp_U_mm,skp_3D_mm,bias_N_mm,bias_E_mm,bias_U_mm,bias_3D_mm,mean_nsat,std_nsat,category
AGGO,IGS,1,0,0,0,0,-8.7,-0.6,2.1,8.9,21.0,0,Неопределено
AIRA,IGS,1,0,0,0,0,7.1000000000000005,-7.3,-9.0,13.6,21.0,0,Неопределено
ABMF,IGS,1,0,0,0,0,8.8,-2.9,-1.5,9.4,22.0,0,Неопределено
ALAC,IGS,1,0,0,0,0,6.0,5.2,-18.599999999999998,20.2,21.0,0,Неопределено
AJAC,IGS,1,0,0,0,0,2.7,5.1000000000000005,-18.3,19.2,22.0,0,Неопределено
ADIS,IGS,1,0,0,0,0,-0.2,6.6,-3.8,7.6,21.0,0,Неопределено
ALGO,IGS,1,0,0,0,0,8.4,-0.5,0.7,8.5,21.0,0,Неопределено
ALBH,IGS,1,0,0,0,0,-2.5,-4.7,-2.9,6.1000000000000005,25.0,0,Неопределено
AMC4,IGS,1,0,0,0,0,0.7,-2.0,9.6,9.799999999999999,23.0,0,Неопределено
ALIC,IGS,1,0,0,0,0,0.6,-6.4,-5.0,8.200000000000001,26.0,0,Неопределено
ANMG,IGS,1,0,0,0,0,1.3,2.7,-13.4,13.799999999999999,24.0,0,Неопределено
AREG,IGS,1,0,0,0,0,-107.30000000000001,-322.6,92.0,352.2,26.0,0,Неопределено
AREQ,IGS,1,0,0,0,0,-108.39999999999999,-321.40000000000003,82.3,349.0,26.0,0,Неопределено
ASCG,IGS,1,0,0,0,0,2.9,11.799999999999999,-6.2,13.6,21.0,0,Неопределено
ARHT,IGS,1,0,0,0,0,-4.6,-4.6,-23.0,23.900000000000002,30.0,0,Неопределено
BAIE,IGS,1,0,0,0,0,1.4,-1.9,17.0,17.2,9.0,0,Неопределено
ARUC,IGS,1,0,0,0,0,-1.4,4.7,-15.6,16.299999999999997,19.0,0,Неопределено
BAKO,IGS,1,0,0,0,0,-3.1,-2.6,-15.100000000000001,15.6,19.0,0,Неопределено
BADG,IGS,1,0,0,0,0,1.3,2.5,-19.3,19.5,26.0,0,Неопределено
BELE,IGS,1,0,0,0,0,19.5,9.0,35.4,41.300000000000004,15.0,0,Неопределено
BOGI,IGS,1,0,0,0,0,-1.6,0.9,16.9,17.0,20.0,0,Неопределено
BAMF,IGS,1,0,0,0,0,0.3,3.0,-3.3,4.5,24.0,0,Неопределено
BAKE,IGS,1,0,0,0,0,-4.8999999999999995,-0.2,-3.5,6.0,28.0,0,Неопределено
BOAV,IGS,1,0,0,0,0,4.3,5.1000000000000005,12.3,14.0,26.0,0,Неопределено
BIK0,IGS,1,0,0,0,0,-1.6,-2.4,-24.0,24.2,22.0,0,Неопределено
BOGT,IGS,1,0,0,0,0,3.2,-0.1,-6.0,6.8,25.0,0,Неопределено
BOR1,IGS,1,0,0,0,0,-1.5,4.4,-4.8999999999999995,6.8,23.0,0,Неопределено
BRAZ,IGS,1,0,0,0,0,0.3,7.0,4.1000000000000005,8.1,24.0,0,Неопределено
BSHM,IGS,1,0,0,0,0,1.0,9.9,-22.4,24.5,21.0,0,Неопределено
BUCU,IGS,1,0,0,0,0,2.0,4.7,-20.299999999999997,21.0,22.0,0,Неопределено
BREW,IGS,1,0,0,0,0,-1.7,1.1,-1.7,2.7,25.0,0,Неопределено
BRST,IGS,1,0,0,0,0,3.5,1.8,-8.9,9.700000000000001,26.0,0,Неопределено
BRUX,IGS,1,0,0,0,0,6.6,5.1000000000000005,-4.1000000000000005,9.299999999999999,26.0,0,Неопределено
CACE,IGS,1,0,0,0,0,32.300000000000004,-76.89999999999999,16.400000000000002,85.0,21.0,0,Неопределено
CCJ2,IGS,1,0,0,0,0,11.799999999999999,1.6,-23.3,26.200000000000003,21.0,0,Неопределено
CANT,IGS,1,0,0,0,0,0.6,3.0,9.0,9.5,19.0,0,Неопределено
CAS1,IGS,1,0,0,0,0,2.9,-5.8999999999999995,-21.0,22.0,26.0,0,Неопределено
CHPG,IGS,1,0,0,0,0,-2.6,3.4,-13.2,13.899999999999999,19.0,0,Неопределено
