ID;Latitude(deg);Longitude(deg);Height(m)
AGA1;50.1320730157;48.5357911164;16.6077
OKTB;55.8394859440;48.8117783714;99.9940
RGSK;53.6996813976;40.1125992168;138.3665
PRVM;49.9599412713;143.2692191160;214.0212
PNGD;65.8492052127;74.5072052540;33.6633
ONGY;50.7466512490;86.1358399263;794.7592
OLGA;43.7532759863;135.3114389330;48.9762
OLE2;60.3684007987;120.4227794080;120.1161
OLE1;60.3684099891;120.4226737741;120.2239
NRIL;69.3484064654;88.2593831092;48.6939
RYR2;68.9158339665;-179.4739497792;14.9566
MYRN;62.5449262348;113.9587125071;329.3314
MKR2;72.3747665620;52.7158555339;22.8034
MKR1;72.3746533812;52.7164083658;23.5109
MHCH;43.0299914693;47.4589806658;-22.5269
MGNS;53.3822640829;59.1331377389;374.5389
MFGS;53.2787246262;34.2314385595;230.2475
MBR2;79.2797155657;101.6198666530;27.4693
RYR1;68.9158730558;-179.4738997965;14.9474
SEGE;63.7588099573;34.2867377091;129.3106
LVR2;65.5788681659;-171.0076918122;15.1052
UFGS;51.9991007521;42.2424705613;159.4902
WAGI;57.9325319621;69.0282931006;33.4771
VRH2;67.5654199429;133.4116279739;133.5770
VRH1;67.5654332774;133.4116825203;133.5255
VOLG;48.7921056979;44.3487247247;143.0025
VLS2;63.7529715785;121.6352968804;95.7306
VLS1;63.7530041779;121.6353141515;95.7896
VANA;60.3378189250;102.3069283413;230.2529
UFA1;54.7114292685;55.8145497307;96.9477
SEVR;56.3378858434;78.3579004365;92.7970
TURR;64.2714446553;100.2157175099;160.8511
TULN;54.5960137352;100.6558372894;484.1176
TUAP;44.1028551211;39.0375352309;111.1710
TRH2;65.7954901523;87.9903826709;17.0200
TRH1;65.7954982405;87.9904524382;17.0203
SYTO;61.3022076810;71.3023468083;13.0030
SVK2;50.6662452009;156.1184879164;46.0271
SVK1;50.6662981409;156.1184843284;46.2304
MBR1;79.2798047440;101.6197755582;27.3144
ZVRG;54.4620084347;64.8691319667;98.1194
LVR1;65.5788475849;-171.0076630136;15.1149
ANTP;69.1044076436;76.8598461427;-7.6195
CRS2;68.7445148329;161.3399394425;36.6049
CRS1;68.7444961763;161.3399205655;36.5667
HES1;80.6204391700;58.0662010743;66.8725
HES2;80.6204824256;58.0660017673;66.8956
IRAE;64.4129071262;55.1907413402;158.2669
ITKL;62.4035219136;133.5597244251;148.5423
BIRY;59.5880307198;41.4854498542;210.7679
BGHN;58.3839087228;97.4503677378;95.2259
BELG;50.6399183691;36.5715756759;241.0353
ITRP;45.2536119581;147.8865143784;55.9519
AYN1;56.4630757121;138.1752871908;31.7293
IZVK;56.8362396848;53.4572359219;160.7802
KERC;45.3687512187;36.6290821430;16.9586
KARG;61.5057140057;38.9324689746;138.7562
ELIS;46.3090200015;44.3114344706;153.8929
KZDV;53.3410404052;87.1856471506;254.2548
KNDL;52.8273065865;45.0624189894;235.7012
KLCH;56.3241493938;160.8260141968;49.4097
KIRV;58.5700234883;49.5724150252;164.6302
AMDR;69.7594774394;61.6786988425;46.0356
ANDR;64.7353622279;177.5099714485;64.9078
ARKH;64.5492984460;40.5260347495;60.9687
AST3;46.3535796967;48.0564730673;8.6730
BORO;61.5802793708;90.0340391433;31.1309
CHIT;52.0228888722;113.5162846517;666.7921
CHRD;70.6221216810;147.8979320992;48.9057
CNG1;55.8550315853;37.5160440684;191.7023
DKSN;73.5137755012;80.4027930958;37.8785
EKTG;56.8775333646;60.6811745826;294.9949
FSVO;51.3699788878;128.1316867352;208.6954
IRKO;52.3081051475;104.3309803942;468.1447
KAGP;56.0338692332;92.8619088436;224.3419
KHAZ;48.4453725804;135.1389400997;90.1928
KIZ1;51.7196380897;94.4547221859;588.6360
KLN1;54.7112735744;20.4363024026;58.8914
KLPS;58.3258394044;82.9505675378;50.0716
KOTL;61.2509235297;46.6325078222;79.1461
LOVJ;67.8909699078;34.6158574888;463.8108
MAG1;59.5773381864;150.8104430500;74.0009
MAMA;57.8173198182;114.0155408744;226.0353
MOBJ;55.1148842852;36.5697205810;182.6461
MURM;68.9660321913;33.0922520497;96.4915
NARY;67.6257614874;53.0203953937;9.5183
NERY;56.6671865216;124.7258511834;845.3428
NIRO;60.7349154379;56.7116050294;152.1971
NNOV;56.2918058776;44.0342176550;178.5895
NOVG;58.5335560507;31.2608347752;59.0485
VNOV;58.5335649979;31.2608411525;59.0248
NOYA;63.1858635023;75.4489580546;108.5616
NSK1;55.0122549749;82.9850242805;141.1577
OHA1;53.5896496178;142.9533696205;49.8619
OLNK;68.5062205265;112.4779625723;194.5320
OMSR;55.0270519929;73.4050873347;107.6376
OREN;51.7597269161;55.0996642416;106.8855
OXTK;59.3603932592;143.2348429829;19.1954
PEVK;69.7004130628;170.2572936522;7.6802
POLO;52.4113013505;136.4755948855;87.5488
PTGK;44.0373846531;43.0587577879;544.4543
PULJ;59.7695901650;30.3220664608;93.7942
RBCS;51.5750155571;81.1961131315;178.0961
RSTS;47.2242203206;39.6878455132;38.6615
SAMR;53.2286980583;50.2336384272;114.6482
SEMH;62.9333466994;152.3843459959;228.4345
SEV1;44.5920832124;33.4884773621;115.7549
SLH1;66.5290242845;66.6063392440;48.5789
SPB2;59.8906459933;30.3614880530;48.6555
TILK;60.4386238432;166.0895872819;100.1123
TIXG;71.6344714815;128.8664301623;47.0651
UNGN;61.9553186347;64.9369373398;99.2804
USNR;64.5701787223;143.2418374796;493.9967
VLDV;43.3595667345;132.1961032699;90.1138
ZHEL;56.5901428506;104.1171246255;419.7131
