station,n_meas,r3d_mean,r3d_std,r3d_min,r3d_max,r3d_sem,dN_mean,dN_std,dE_mean,dE_std,dU_mean,dU_std,nsat_mean,nsat_std,nsat_min,nsat_max,duration_mean,duration_std,q_mean,skp_N,skp_E,skp_U,skp_3D,category
ABMF,22,0.015005,0.007123,0.005,0.0296,0.001519,0.009,0.005678,-0.002973,0.006652,-0.003214,0.010259,21.045455,2.935453,13,26,141.109091,49.945531,1.0,0.005678,0.006652,0.010259,0.007123,Высокоточные (5-8 мм)
AGGO,24,0.011712,0.007454,0.0033,0.0288,0.001522,-0.000196,0.004817,0.001204,0.005276,0.006638,0.010006,20.708333,2.896462,9,24,153.8375,40.222412,1.208333,0.004817,0.005276,0.010006,0.007454,Высокоточные (5-8 мм)
AJAC,24,0.014458,0.006346,0.0036,0.0282,0.001295,0.003071,0.002927,0.003996,0.004072,-0.012371,0.006847,22.375,1.929463,18,26,161.008333,39.59217,1.0,0.002927,0.004072,0.006847,0.006346,Высокоточные (5-8 мм)
ALAC,24,0.011642,0.005353,0.0034,0.0221,0.001093,0.000933,0.002506,0.005783,0.005302,-0.00775,0.006108,22.791667,1.933215,20,28,154.9625,34.752839,1.0,0.002506,0.005302,0.006108,0.005353,Высокоточные (5-8 мм)
ALBH,24,0.007688,0.003157,0.0021,0.0153,0.000644,0.00295,0.003067,-0.002571,0.003258,-0.000775,0.00592,22.125,3.207498,16,27,184.9,37.705091,1.0,0.003067,0.003258,0.00592,0.003157,Прецизионные (3-5 мм)
ALGO,24,0.011488,0.003991,0.0049,0.0219,0.000815,0.005429,0.00332,0.005071,0.004271,-0.004704,0.006586,23.583333,2.145099,19,26,183.1,42.384021,1.0,0.00332,0.004271,0.006586,0.003991,Прецизионные (3-5 мм)
ALIC,24,0.014788,0.005731,0.005,0.0264,0.00117,0.000208,0.004651,-0.002225,0.00691,0.011379,0.007198,23.458333,5.090308,13,29,161.733333,81.278451,1.208333,0.004651,0.00691,0.007198,0.005731,Высокоточные (5-8 мм)
AMC4,23,0.010365,0.005785,0.0029,0.0227,0.001206,0.0001,0.002422,0.001757,0.002885,0.008761,0.006938,21.043478,2.142179,15,25,193.456522,30.189204,1.0,0.002422,0.002885,0.006938,0.005785,Высокоточные (5-8 мм)
ANMG,24,0.013288,0.005805,0.0056,0.0296,0.001185,0.003,0.00453,0.004017,0.006214,0.001212,0.011442,20.291667,2.645409,14,24,174.495833,66.443912,1.0,0.00453,0.006214,0.011442,0.005805,Высокоточные (5-8 мм)
ARHT,25,0.027264,0.00756,0.0105,0.0435,0.001512,-0.001308,0.005159,-0.004828,0.002426,-0.024704,0.011758,25.32,5.305029,9,33,194.96,65.451553,1.2,0.005159,0.002426,0.011758,0.00756,Высокоточные (5-8 мм)
