station,n_meas,bias_N,skp_N,bias_E,skp_E,bias_U,skp_U,rms_3d,std_3d,mean_3d,nsat_mean,duration_mean,q_fix_ratio,skp_3D,category
ABMF,32,0.008666,0.006028,-0.003428,0.006299,-0.003463,0.009166,0.015934,0.006943,0.014394,20.6875,142.528125,1.0,0.006943,Пониженной точности (12-20 мм)
AGGO,36,-0.000225,0.004561,0.001422,0.00555,0.006369,0.010736,0.014317,0.007832,0.012056,20.444444,152.341667,0.944444,0.007832,Пониженной точности (12-20 мм)
AJAC,36,0.003197,0.003058,0.004169,0.003979,-0.012761,0.007149,0.016271,0.00665,0.014892,22.666667,161.513889,1.0,0.00665,Пониженной точности (12-20 мм)
ALAC,35,0.000934,0.002503,0.006169,0.005441,-0.007214,0.005852,0.012609,0.004931,0.011634,23.028571,161.265714,1.0,0.004931,Пониженной точности (12-20 мм)
ALBH,36,0.002794,0.002879,-0.002747,0.003116,-0.000536,0.006069,0.008301,0.003242,0.007661,22.583333,187.091667,1.0,0.003242,Средней точности (8-12 мм)
ALGO,35,0.005289,0.003116,0.005614,0.003923,-0.005434,0.004403,0.011506,0.003337,0.011026,23.371429,185.177143,1.0,0.003337,Средней точности (8-12 мм)
ALIC,35,0.000469,0.004134,-0.002277,0.0072,0.011194,0.007144,0.015708,0.005709,0.014666,23.285714,160.611429,0.942857,0.005709,Пониженной точности (12-20 мм)
AMC4,34,5.6e-05,0.002232,0.001682,0.003057,0.008085,0.006614,0.01116,0.005618,0.009691,20.941176,194.341176,1.0,0.005618,Средней точности (8-12 мм)
ANMG,34,0.002512,0.004792,0.003968,0.005832,0.001397,0.009377,0.012836,0.004546,0.012029,20.235294,180.338235,1.0,0.004546,Пониженной точности (12-20 мм)
ARHT,36,-0.001839,0.004869,-0.004919,0.002531,-0.024972,0.010806,0.028165,0.007907,0.027064,25.027778,193.425,0.944444,0.007907,Низкой точности (20-50 мм)
ARUC,33,0.000909,0.001423,0.003148,0.004174,-0.011903,0.001929,0.01322,0.001778,0.013103,24.151515,194.127273,1.0,0.001778,Пониженной точности (12-20 мм)
ASCG,38,0.00415,0.002201,0.003368,0.003759,0.003532,0.007652,0.0108,0.003799,0.010129,22.421053,179.244737,1.0,0.003799,Средней точности (8-12 мм)
BADG,29,0.002438,0.001444,0.002072,0.002964,-0.018603,0.003822,0.01953,0.00371,0.019186,24.793103,178.548276,1.0,0.00371,Пониженной точности (12-20 мм)
BAIE,29,0.001728,0.002343,0.000731,0.006593,0.010845,0.006284,0.014378,0.005968,0.013128,14.034483,72.162069,1.0,0.005968,Пониженной точности (12-20 мм)
BAKE,37,-0.000976,0.00219,0.004022,0.003195,-0.000692,0.008407,0.010058,0.00435,0.009097,26.0,204.591892,1.0,0.00435,Средней точности (8-12 мм)
BAMF,29,0.006155,0.002422,0.003838,0.004654,0.000745,0.007186,0.011364,0.001353,0.011286,21.758621,158.065517,1.0,0.001353,Средней точности (8-12 мм)
BELE,38,0.006771,0.006607,-0.000358,0.005656,0.027592,0.010197,0.031317,0.009748,0.029803,15.0,145.844737,1.0,0.009748,Низкой точности (20-50 мм)
BIK0,35,-0.000689,0.002703,-0.001351,0.003845,-0.022814,0.00816,0.024697,0.008039,0.023391,25.171429,198.557143,1.0,0.008039,Низкой точности (20-50 мм)
BOAV,33,0.006297,0.003112,0.002661,0.004344,0.006958,0.005799,0.012455,0.003331,0.012015,23.212121,199.345455,1.0,0.003331,Пониженной точности (12-20 мм)
BOGI,32,0.005312,0.003347,0.000813,0.004693,0.014966,0.005885,0.017841,0.005696,0.016938,19.46875,136.878125,1.0,0.005696,Пониженной точности (12-20 мм)
BOGT,34,0.003806,0.002003,0.003685,0.004759,0.000768,0.006575,0.009831,0.003055,0.009359,22.764706,155.923529,1.0,0.003055,Средней точности (8-12 мм)
BOR1,33,0.00353,0.003054,0.003467,0.004553,-0.002661,0.005804,0.009675,0.003952,0.008858,24.484848,193.618182,1.0,0.003952,Средней точности (8-12 мм)
BRAZ,37,5e-06,0.004705,0.000468,0.006869,0.005038,0.010682,0.014288,0.007319,0.01233,18.648649,156.651351,1.0,0.007319,Пониженной точности (12-20 мм)
BREW,36,0.002556,0.00259,0.004,0.00406,0.001889,0.005459,0.008799,0.003628,0.008039,23.444444,185.330556,1.0,0.003628,Средней точности (8-12 мм)
BRST,35,0.002154,0.003448,0.002026,0.005518,-0.004346,0.005779,0.010062,0.004326,0.009114,25.228571,190.06,1.0,0.004326,Средней точности (8-12 мм)
BRUX,36,0.004861,0.004904,0.002061,0.004415,-0.009717,0.006457,0.014307,0.005563,0.013214,27.083333,204.783333,1.0,0.005563,Пониженной точности (12-20 мм)
BSHM,38,0.003932,0.002936,0.000708,0.004886,-0.014489,0.005285,0.016864,0.004839,0.016174,23.473684,184.434211,0.973684,0.004839,Пониженной точности (12-20 мм)
BUCU,31,0.001542,0.004834,0.000239,0.005855,-0.011829,0.013536,0.019379,0.009286,0.01709,22.0,142.351613,0.935484,0.009286,Пониженной точности (12-20 мм)
CACE,33,-0.00017,0.002246,0.005421,0.004772,-0.008027,0.011002,0.015449,0.007303,0.013673,22.393939,123.457576,1.0,0.007303,Пониженной точности (12-20 мм)
CANT,29,0.003145,0.003451,0.00041,0.005346,0.013628,0.00805,0.017244,0.006989,0.015817,19.241379,122.344828,1.0,0.006989,Пониженной точности (12-20 мм)
CAS1,38,0.002092,0.005666,-0.002371,0.004282,-0.016026,0.010247,0.020443,0.006469,0.019421,23.842105,175.873684,0.947368,0.006469,Низкой точности (20-50 мм)
CCJ2,35,0.00392,0.003575,-0.00052,0.005837,-0.0101,0.011199,0.016874,0.009103,0.014291,17.142857,104.237143,0.8,0.009103,Пониженной точности (12-20 мм)
